_date_,volc
1866-01-01,0.21907859
1867-01-01,0.22901714
1868-01-01,0.23107339
1869-01-01,0.22284839
1870-01-01,0.21873589
1871-01-01,0.2194213
1872-01-01,0.2070838
1873-01-01,0.19337547
1874-01-01,0.20125776
1875-01-01,0.19406089
1876-01-01,0.15293589
1877-01-01,0.14848068
1878-01-01,0.18035255
1879-01-01,0.20194318
1880-01-01,0.21565151
1881-01-01,0.22284839
1882-01-01,0.11112547
1883-01-01,-0.80253495
1884-01-01,-1.5373016
1885-01-01,-0.94407349
1886-01-01,-0.44851724
1887-01-01,-0.32137245
1888-01-01,-0.21102036
1889-01-01,-0.27750578
1890-01-01,-0.3316537
1891-01-01,-0.2617412
1892-01-01,-0.087645365
1893-01-01,0.060061927
1894-01-01,0.16938589
1895-01-01,0.1618463
1896-01-01,0.016537969
1897-01-01,-0.064683906
1898-01-01,0.037785885
1899-01-01,0.15053693
1900/1/1,0.20194318
1901/1/1,0.19166193
1902/1/1,-0.25694328
1903/1/1,-0.65105786
1904/1/1,-0.3563287
1905/1/1,0.002144219
1906/1/1,0.1001588
1907/1/1,0.076169219
1908/1/1,0.087821302
1909/1/1,0.15396401
1910/1/1,0.18892026
1911/1/1,0.19508901
1912/1/1,-0.048576615
1913/1/1,-0.15652974
1914/1/1,0.055606719
1915/1/1,0.15944734
1916/1/1,0.18754943
1917/1/1,0.19611714
1918/1/1,0.20194318
1919/1/1,0.1947463
1920/1/1,0.11078276
1921/1/1,0.095703594
1922/1/1,0.18103797
1923/1/1,0.20228589
1924/1/1,0.18926297
1925/1/1,0.18926297
1926/1/1,0.19714526
1927/1/1,0.19508901
1928/1/1,0.14573901
1929/1/1,0.096046302
1930/1/1,0.12174943
1931/1/1,0.14642443
1932/1/1,0.11489526
1933/1/1,0.12380568
1934/1/1,0.16218901
1935/1/1,0.16938589
1936/1/1,0.18069526
1937/1/1,0.17932443
1938/1/1,0.16321714
1939/1/1,0.16390255
1940/1/1,0.18377964
1941/1/1,0.19303276
1942/1/1,0.17144214
1943/1/1,0.16630151
1944/1/1,0.18926297
1945/1/1,0.19988693
1946/1/1,0.2070838
1947/1/1,0.1988588
1948/1/1,0.19680255
1949/1/1,0.18926297
1950/1/1,0.18686401
1951/1/1,0.1906338
1952/1/1,0.18446505
1953/1/1,0.17555464
1954/1/1,0.18069526
1955/1/1,0.2029713
1956/1/1,0.2153088
1957/1/1,0.22559005
1958/1/1,0.23073068
1959/1/1,0.22696089
1960/1/1,0.15190776
1961/1/1,0.060747344
1962/1/1,-0.013963073
1963/1/1,-0.49546828
1964/1/1,-0.85325578
1965/1/1,-0.53248078
1966/1/1,-0.15001828
1967/1/1,-0.021502656
1968/1/1,-0.22027349
1969/1/1,-0.29635474
1970/1/1,-0.055430781
1971/1/1,0.11420984
1972/1/1,0.15327859
1973/1/1,0.10632755
1974/1/1,-0.040694323
1975/1/1,-0.14110786
1976/1/1,-0.017390156
1977/1/1,0.13408693
1978/1/1,0.10906922
1979/1/1,0.093990052
1980/1/1,0.14813797
1981/1/1,0.079596302
1982/1/1,-0.59142661
1983/1/1,-0.87621724
1984/1/1,-0.32000161
1985/1/1,-0.023216198
1986/1/1,0.035044219
1987/1/1,0.065887969
1988/1/1,0.10598484
1989/1/1,0.12928901
1990/1/1,0.12654734
1991/1/1,-0.81487245
1992/1/1,-1.4197527
1993/1/1,-0.68190161
1994/1/1,-0.13151203
1995/1/1,0.058691094
1996/1/1,0.12380568
1997/1/1,0.15327859
1998/1/1,0.18754943
1999/1/1,0.21633693
2000/1/1,0.22867443
2001/1/1,0.23244422
2002/1/1,0.23244422
2003/1/1,0.23244422
2004/1/1,0.23244422
2005/1/1,0.18401834
2006/1/1,0.06779623
2007/1/1,0
2008/1/1,0
2009/1/1,0
2010/1/1,0
2011/1/1,0
2012/1/1,0
2013/1/1,0
2014/1/1,0
2015/1/1,0