_date_,soi
1866-01-01,-0.025
1867-01-01,-0.008333333
1868-01-01,-0.138333333
1869-01-01,0.0625
1870-01-01,-0.026666667
1871-01-01,-0.028333333
1872-01-01,0.311666667
1873-01-01,0.021666667
1874-01-01,0.101666667
1875-01-01,0.025833333
1876-01-01,0.064166667
1877-01-01,-0.264166667
1878-01-01,0.020833333
1879-01-01,0.196666667
1880-01-01,0.118333333
1881-01-01,-0.098333333
1882-01-01,-0.095
1883-01-01,-0.068333333
1884-01-01,-0.075833333
1885-01-01,-0.1075
1886-01-01,0.11
1887-01-01,0.083333333
1888-01-01,-0.180833333
1889-01-01,0.0025
1890-01-01,0.096666667
1891-01-01,-0.045
1892-01-01,0.058333333
1893-01-01,0.146666667
1894-01-01,0.045
1895-01-01,-0.0475
1896-01-01,-0.149166667
1897-01-01,-0.1025
1898-01-01,0.0925
1899-01-01,0.033333333
1900/1/1,-0.123333333
1901/1/1,-0.004166667
1902/1/1,1.62E-18
1903/1/1,0.06
1904/1/1,0.059166667
1905/1/1,-0.330833333
1906/1/1,0.035
1907/1/1,-0.029166667
1908/1/1,0.045
1909/1/1,0.035833333
1910/1/1,0.201666667
1911/1/1,-0.099166667
1912/1/1,-0.163333333
1913/1/1,-0.116666667
1914/1/1,-0.12
1915/1/1,-0.001666667
1916/1/1,0.095833333
1917/1/1,0.3275
1918/1/1,0.009166667
1919/1/1,-0.180833333
1920/1/1,0.011666667
1921/1/1,0.105
1922/1/1,0.061666667
1923/1/1,-0.056666667
1924/1/1,0.059166667
1925/1/1,-0.035833333
1926/1/1,-0.0825
1927/1/1,0.039166667
1928/1/1,0.0775
1929/1/1,0.089166667
1930/1/1,0.004166667
1931/1/1,0.036666667
1932/1/1,-0.1
1933/1/1,0.008333333
1934/1/1,-0.010833333
1935/1/1,0.026666667
1936/1/1,-0.029166667
1937/1/1,0.003333333
1938/1/1,0.134166667
1939/1/1,-0.000833333
1940/1/1,-0.225
1941/1/1,-0.230833333
1942/1/1,-0.0025
1943/1/1,0.059166667
1944/1/1,-0.043333333
1945/1/1,0.07
1946/1/1,-0.120833333
1947/1/1,0.025833333
1948/1/1,-0.045
1949/1/1,-0.029166667
1950/1/1,0.235833333
1951/1/1,-0.1
1952/1/1,-0.049166667
1953/1/1,-0.121666667
1954/1/1,0.0375
1955/1/1,0.148333333
1956/1/1,0.1575
1957/1/1,-0.075833333
1958/1/1,-0.079166667
1959/1/1,-0.018333333
1960/1/1,0.049166667
1961/1/1,-0.008333333
1962/1/1,0.058333333
1963/1/1,-0.0525
1964/1/1,0.07
1965/1/1,-0.139166667
1966/1/1,-0.0875
1967/1/1,0.046666667
1968/1/1,0.030833333
1969/1/1,-0.113333333
1970/1/1,0.041666667
1971/1/1,0.165833333
1972/1/1,-0.135833333
1973/1/1,0.095833333
1974/1/1,0.1625
1975/1/1,0.206666667
1976/1/1,0.014166667
1977/1/1,-0.1675
1978/1/1,-0.059166667
1979/1/1,-0.0175
1980/1/1,-0.061666667
1981/1/1,0.000833333
1982/1/1,-0.213333333
1983/1/1,-0.184166667
1984/1/1,-0.02
1985/1/1,0.0075
1986/1/1,-0.065833333
1987/1/1,-0.218333333
1988/1/1,0.115
1989/1/1,0.091666667
1990/1/1,-0.065
1991/1/1,-0.1525
1992/1/1,-0.200833333
1993/1/1,-0.165833333
1994/1/1,-0.2
1995/1/1,-0.0475
1996/1/1,0.0825
1997/1/1,-0.1775
1998/1/1,-0.051666667
1999/1/1,0.121666667
2000/1/1,0.1175
2001/1/1,0.000833333
2002/1/1,-0.101666667
2003/1/1,-0.061666667
2004/1/1,-0.09
2005/1/1,-0.079166667
2006/1/1,-0.0375
2007/1/1,0.006666667
2008/1/1,0.178333333
2009/1/1,-0.011666667
2010/1/1,0.1325
2011/1/1,0.228333333
2012/1/1,-0.019166667
2013/1/1,0.041666667
2014/1/1,-0.068333333
2015/1/1,-0.191666667